"Time";"TravelTime";"CarsIn";"CarsOut";"CarsIn1";"CarsIn2";"CarsIn3";"CarsIn4";"CarsIn5";"CarsInUnknown"
"19-06-2012 23:30:00";0;4;0;3;1;0;0;0;0
"20-06-2012 00:00:00";481.2;29;20;22;6;1;0;0;0
"20-06-2012 00:30:00";532.455;28;33;14;9;0;2;1;2
"20-06-2012 01:00:00";462.545;33;33;24;8;0;0;0;1
"20-06-2012 01:30:00";480.341;35;41;28;7;0;0;0;0
"20-06-2012 02:00:00";429.562;19;16;16;3;0;0;0;0
"20-06-2012 02:30:00";442.05;19;20;16;2;0;0;0;1
"20-06-2012 03:00:00";519.026;41;38;34;5;0;0;0;2
"20-06-2012 03:30:00";443.375;49;48;38;6;2;2;0;1
"20-06-2012 04:00:00";467.571;41;35;32;4;0;3;1;1
"20-06-2012 04:30:00";446.929;36;42;31;3;1;0;0;1
"20-06-2012 05:00:00";707.167;30;18;22;2;5;0;1;0
"20-06-2012 05:30:00";479.245;108;94;77;15;14;2;0;0
"20-06-2012 06:00:00";529.734;161;128;130;9;19;1;2;0
"20-06-2012 06:30:00";694.994;157;157;120;16;17;2;2;0
"20-06-2012 07:00:00";893.817;132;126;98;11;21;0;1;1
"20-06-2012 07:30:00";1066.61;112;115;95;2;14;0;1;0
"20-06-2012 08:00:00";1251.61;116;99;89;9;16;0;2;0
"20-06-2012 08:30:00";1407.53;122;114;99;9;9;3;2;0
"20-06-2012 09:00:00";1254.99;114;136;91;12;9;2;0;0
"20-06-2012 09:30:00";989.524;115;145;93;10;9;2;1;0
"20-06-2012 10:00:00";703.817;110;109;90;9;8;0;3;0
"20-06-2012 10:30:00";698.916;116;107;89;13;8;3;3;0
"20-06-2012 11:00:00";711.123;110;122;95;9;6;0;0;0
"20-06-2012 11:30:00";765.615;120;104;99;9;10;1;1;0
"20-06-2012 12:00:00";808.662;127;130;103;16;8;0;0;0
"20-06-2012 12:30:00";749.851;95;114;76;11;7;1;0;0
"20-06-2012 13:00:00";821.784;103;102;78;11;12;1;1;0
"20-06-2012 13:30:00";711.08;86;88;67;8;8;1;2;0
"20-06-2012 14:00:00";676.041;115;97;88;12;13;1;1;0
"20-06-2012 14:30:00";767.972;98;108;71;10;16;0;1;0
"20-06-2012 15:00:00";684.482;134;112;105;10;17;0;1;1
"20-06-2012 15:30:00";834.553;104;123;85;8;10;0;0;1
"20-06-2012 16:00:00";881.028;101;108;77;9;12;2;0;1
"20-06-2012 16:30:00";719.901;109;91;91;7;10;1;0;0
"20-06-2012 17:00:00";918.777;136;130;114;6;13;2;1;0
"20-06-2012 17:30:00";969.224;107;116;88;4;13;1;1;0
"20-06-2012 18:00:00";991.703;126;111;107;7;12;0;0;0
"20-06-2012 18:30:00";877.781;105;137;87;7;10;0;1;0
"20-06-2012 19:00:00";691.048;85;84;73;5;6;1;0;0
"20-06-2012 19:30:00";583.2;87;105;73;7;6;0;0;1
"20-06-2012 20:00:00";514.314;24;35;23;1;0;0;0;0
"20-06-2012 20:30:00";527.294;9;17;8;0;0;0;0;1
"20-06-2012 21:00:00";0;1;0;0;1;0;0;0;0
"20-06-2012 21:30:00";481.797;88;59;67;12;5;0;0;4
"20-06-2012 22:00:00";523.292;70;89;58;8;0;1;1;2
"20-06-2012 22:30:00";543.204;69;54;51;14;1;1;1;1
"20-06-2012 23:00:00";450.127;68;79;57;8;1;1;0;1
"20-06-2012 23:30:00";519.406;17;32;15;1;0;0;0;1
